EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2002-02-17 22:00:00.0,2002-02-17 21:42:00.0,special-marine,"[[[-117.26, 32.98], [-117.37, 33.16], [-117.5, 33.18], [-117.5, 32.96], [-117.26, 32.98]]]","[[-117.378, 33.052]]"
2002-02-19 12:15:00.0,2002-02-19 11:49:00.0,severe-thunderstorm,"[[[-96.89, 34.38], [-96.74, 34.26], [-96.42, 34.27], [-96.54, 34.5], [-96.86, 34.5], [-96.89, 34.38]]]","[[-96.72333333333334, 34.38166666666667]]"
2002-02-19 13:00:00.0,2002-02-19 12:09:00.0,severe-thunderstorm,"[[[-96.59, 34.9], [-96.58, 34.22], [-96.09, 34.22], [-96.12, 35.26], [-96.4, 35.26], [-96.51, 34.88], [-96.59, 34.9]]]","[[-96.41142857142857, 34.80571428571428]]"
2002-02-19 13:45:00.0,2002-02-19 12:23:00.0,severe-thunderstorm,"[[[-95.97, 35.37], [-96.12, 34.94], [-96.07, 34.61], [-95.54, 34.61], [-95.44, 35.17], [-95.42, 35.54], [-95.97, 35.37]]]","[[-95.78999999999999, 35.08714285714286]]"
2002-02-19 13:15:00.0,2002-02-19 12:25:00.0,severe-thunderstorm,"[[[-96.91, 34.01], [-96.87, 33.86], [-96.47, 33.85], [-96.11, 34.17], [-96.42, 34.15], [-96.58, 34.11], [-96.78, 34.16], [-96.91, 34.01]]]","[[-96.63125, 34.04]]"
2002-02-19 13:45:00.0,2002-02-19 12:58:00.0,severe-thunderstorm,"[[[-96.28, 34.38], [-96.26, 34.25], [-95.79, 34.28], [-95.81, 34.51], [-95.69, 34.53], [-95.68, 34.58], [-95.89, 34.59], [-95.91, 34.68], [-96.07, 34.66], [-96.1, 34.48], [-96.28, 34.38]]]","[[-95.97818181818182, 34.48363636363636]]"
2002-02-19 14:00:00.0,2002-02-19 13:08:00.0,severe-thunderstorm,"[[[-95.5137663166487, 34.6862225471072], [-95.0535365678818, 34.6894774440781], [-95.055239000298, 34.8637278459059], [-94.9980314553104, 34.8635714060936], [-94.9967572540619, 34.9521860550698], [-94.9258856641097, 34.9536891685357], [-94.9257397755448, 35.066443117572], [-95.3504559289252, 35.0653862983527], [-95.3511732446806, 35.0349565334796], [-95.5052787916462, 35.0336819664303], [-95.5137663166487, 34.6862225471072]]]","[[-95.19905730143236, 34.89959681179383]]"
2002-02-19 14:00:00.0,2002-02-19 13:11:00.0,severe-thunderstorm,"[[[-97.14, 33.42], [-97.25, 33.13], [-97.22, 33.04], [-96.84, 33.05], [-96.84, 33.3], [-96.83, 33.42], [-97.14, 33.42]]]","[[-97.03714285714287, 33.25428571428572]]"
2002-02-19 14:15:00.0,2002-02-19 13:11:00.0,severe-thunderstorm,"[[[-95.38, 35.63], [-95.34, 35.36], [-95.46, 35.22], [-95.33, 35.06], [-94.98, 35.08], [-94.82, 35.33], [-95.11, 35.49], [-9.51, 35.67], [-95.38, 35.63]]]","[[-85.7011111111111, 35.385555555555555]]"
2002-02-19 14:30:00.0,2002-02-19 13:25:00.0,severe-thunderstorm,"[[[-95.5, 34.68], [-95.77, 34.5], [-95.95, 34.02], [-95.16, 34.07], [-94.95, 34.52], [-94.97, 34.7], [-95.5, 34.68]]]","[[-95.39999999999999, 34.45285714285715]]"
2002-02-19 16:40:00.0,2002-02-19 15:40:00.0,severe-thunderstorm,"[[[-104.048906344358, 45.9429936671403], [-104.04783642886, 46.2808814764405], [-104.046705569922, 46.5425395197373], [-104.047437491435, 46.6429474765464], [-104.356233900136, 46.6411189454233], [-104.357721623583, 46.6713775580732], [-104.42785408822, 46.6720903939724], [-104.427953258937, 46.6881466828729], [-104.606618901295, 46.6879320559689], [-104.606328899253, 46.6562849024158], [-104.736629657416, 46.6561050662503], [-104.736156425931, 46.6139215944096], [-104.735995694036, 46.4814353749116], [-104.909525950059, 46.4835980198664], [-104.912440424596, 46.3126550951197], [-104.884126558318, 46.3114687224682], [-104.887064085463, 46.137863739906], [-104.531359464464, 46.1355939944683], [-104.529383508946, 46.0522798276501], [-104.398962042218, 46.0522689965731], [-104.397825496618, 45.9721670648186], [-104.140568948838, 45.9699329349123], [-104.138425230153, 45.8829914825082], [-104.049516843796, 45.8830527625305], [-104.048906344358, 45.9429936671403]]]","[[-104.44041932724836, 46.33258564088497]]"
2002-02-19 19:45:00.0,2002-02-19 18:45:00.0,flash-flood,"[[[-104.99794048394, 45.7865236396203], [-104.997666267357, 45.7247742929333], [-104.975486603717, 45.7244766677099], [-104.981745987807, 45.440504695694], [-104.992786198777, 45.4408785386888], [-104.994695010847, 45.3503799632661], [-105.037490287017, 45.350059645445], [-105.041795987521, 45.0010758746085], [-104.059842395291, 44.9973362616199], [-104.043072277779, 44.9978055394377], [-104.043851417835, 45.2128754685677], [-104.049516843796, 45.8830527625305], [-104.138425230153, 45.8829914825082], [-104.140568948838, 45.9699329349123], [-104.397825496618, 45.9721670648186], [-104.398962042218, 46.0522689965731], [-104.529383508946, 46.0522798276501], [-104.531359464464, 46.1355939944683], [-104.887064085463, 46.137863739906], [-104.940876441665, 46.1375014754461], [-104.942464632049, 45.7873741101391], [-104.99794048394, 45.7865236396203]]]","[[-104.64185273163808, 45.673829118916544]]"
2002-02-19 19:52:00.0,2002-02-19 18:52:00.0,severe-thunderstorm,"[[[-104.048906344358, 45.9429936671403], [-104.04783642886, 46.2808814764405], [-104.046705569922, 46.5425395197373], [-104.047437491435, 46.6429474765464], [-104.356233900136, 46.6411189454233], [-104.357721623583, 46.6713775580732], [-104.42785408822, 46.6720903939724], [-104.427953258937, 46.6881466828729], [-104.606618901295, 46.6879320559689], [-104.606328899253, 46.6562849024158], [-104.736629657416, 46.6561050662503], [-104.736156425931, 46.6139215944096], [-104.735995694036, 46.4814353749116], [-104.909525950059, 46.4835980198664], [-104.912440424596, 46.3126550951197], [-104.884126558318, 46.3114687224682], [-104.887064085463, 46.137863739906], [-104.531359464464, 46.1355939944683], [-104.529383508946, 46.0522798276501], [-104.398962042218, 46.0522689965731], [-104.397825496618, 45.9721670648186], [-104.140568948838, 45.9699329349123], [-104.138425230153, 45.8829914825082], [-104.049516843796, 45.8830527625305], [-104.048906344358, 45.9429936671403]]]","[[-104.44041932724836, 46.33258564088497]]"
2002-02-19 19:56:00.0,2002-02-19 18:56:00.0,flash-flood,"[[[-105.08500310735, 44.9998170469188], [-105.041795987521, 45.0010758746085], [-105.037490287017, 45.350059645445], [-104.994695010847, 45.3503799632661], [-104.992786198777, 45.4408785386888], [-104.981745987807, 45.440504695694], [-104.975486603717, 45.7244766677099], [-104.997666267357, 45.7247742929333], [-104.99794048394, 45.7865236396203], [-106.197499893735, 45.7943551494187], [-106.239287639719, 45.7941301686596], [-106.240795090742, 45.3537258247983], [-106.281660399795, 45.3535002394812], [-106.280910553112, 45.1789552352098], [-106.258890772793, 45.1784102423411], [-106.259231717931, 44.9961625110408], [-106.021150701601, 44.9972137020636], [-105.08500310735, 44.9998170469188]]]","[[-105.55383554506174, 45.359153360267584]]"
2002-02-19 22:00:00.0,2002-02-19 21:17:00.0,severe-thunderstorm,"[[[-95.42, 39.06], [-95.59, 39.03], [-95.61, 38.91], [-95.23, 38.97], [-95.3, 39.04], [-95.42, 39.06]]]","[[-95.42833333333334, 39.01166666666666]]"
2002-02-19 22:30:00.0,2002-02-19 22:00:00.0,severe-thunderstorm,"[[[-95.1817063097987, 39.0375420634396], [-95.1697413678654, 39.4130686522699], [-95.5653120403433, 39.4134534767091], [-95.5820285262325, 39.4133388098745], [-95.5863233112804, 39.2150745800958], [-95.5869338854473, 39.1419896899693], [-95.599194823717, 39.0935245511161], [-95.5889788554113, 39.0585251392719], [-95.5404468322572, 39.0639266653595], [-95.4961035755069, 39.0545197141094], [-95.4333583212009, 39.0664559963024], [-95.3827441304003, 39.0539784105955], [-95.3482130345268, 39.0341041360156], [-95.1817063097987, 39.0375420634396]]]","[[-95.44591366598476, 39.149788853469154]]"
2002-02-19 23:15:00.0,2002-02-19 22:09:00.0,severe-thunderstorm,"[[[-94.62, 39.03], [-95.05, 38.94], [-95.01, 38.77], [-94.63, 38.78], [-94.62, 39.03]]]","[[-94.786, 38.910000000000004]]"
2002-02-20 00:15:00.0,2002-02-19 23:16:00.0,severe-thunderstorm,"[[[-94.16, 39.17], [-94.6, 39.08], [-94.61, 38.86], [-94.17, 38.85], [-94.16, 39.17]]]","[[-94.34, 39.025999999999996]]"
